food_id,Name,Coarse-grained categories,Fine-grained categories,Cuisines,Associated Cuisines,Area,Countries,Wikipedia Link,Alias,Top_15_Similar_Foods,Top_15_Same_Fine_Category,Top_15_Same_Coarse_Category
380,Tortilla,"[""bread""]","[""flatbread""]","[""Mesoamerican""]","[""Mesoamerican""]","[""Mesoamerica""]","[""Mexico""]",https://en.wikipedia.org/wiki/Tortilla,"{""ar - Arabic"": ""خبز الترتية"", ""arz - Egyptian Arabic"": ""تورتييا"", ""bew - Betawi"": ""Roti lèmpèng bunder"", ""bg - Bulgarian"": ""Тортиля"", ""bn - Bangla"": ""তোরতিয়া"", ""ca - Catalan"": ""Tortilla"", ""cs - Czech"": ""Tortilla"", ""cy - Welsh"": ""Tortila"", ""da - Danish"": ""Tortilla"", ""de - German"": ""Tortilla"", ""en-simple - Simple English"": ""Tortilla"", ""eo - Esperanto"": ""Tortiljo"", ""et - Estonian"": ""Tortilla"", ""eu - Basque"": ""Tortilla"", ""fa - Persian"": ""تورتیا"", ""fi - Finnish"": ""Tortilla"", ""fr - French"": ""Tortilla"", ""he - Hebrew"": ""טורטייה"", ""hr - Croatian"": ""Tortilja"", ""hu - Hungarian"": ""Tortilla"", ""hy - Armenian"": ""Տորտիլյա"", ""ia - Interlingua"": ""Tortilla"", ""id - Indonesian"": ""Tortilla"", ""is - Icelandic"": ""Tortilla"", ""it - Italian"": ""Tortilla"", ""ja - Japanese"": ""トルティーヤ"", ""jv - Javanese"": ""Tortilla"", ""kn - Kannada"": ""ತೊರ್ತೀಯಾ"", ""ko - Korean"": ""토르티야"", ""la - Latin"": ""Tortilla"", ""lfn - Lingua Franca Nova"": ""Tortilia"", ""lt - Lithuanian"": ""Tortilija"", ""lv - Latvian"": ""Tortilja"", ""mk - Macedonian"": ""Тортиља"", ""ml - Malayalam"": ""തോർത്തിൽയ"", ""mr - Marathi"": ""तोर्तिया"", ""ms - Malay"": ""Tortilla"", ""nb - Norwegian Bokmål"": ""Tortilla"", ""nl - Dutch"": ""Mexicaanse tortilla"", ""nn - Norwegian Nynorsk"": ""Tortilla"", ""pl - Polish"": ""Tortilla"", ""pt - Portuguese"": ""Tortilla"", ""ru - Russian"": ""Тортилья"", ""sr - Serbian"": ""Тортиља"", ""sv - Swedish"": ""Tortilla"", ""sw - Swahili"": ""Tortilla"", ""ta - Tamil"": ""தார்த்தியா"", ""th - Thai"": ""ตอร์ติยา"", ""tr - Turkish"": ""Tortilla"", ""uk - Ukrainian"": ""Тортилья"", ""ur - Urdu"": ""تورتیا"", ""vi - Vietnamese"": ""Tortilla"", ""yue - Cantonese"": ""墨西哥薄餅"", ""zh - Chinese"": ""墨西哥薄饼""}","[379, 2055, 2054, 2051, 1472, 2012, 2031, 2163, 1473, 381, 505, 1378, 2049, 1149, 764]","[2051, 2012, 2031, 2049, 1149, 1001, 2005, 1164, 411, 2016, 1408, 1077, 1096, 1059, 1131]","[2051, 1472, 2012, 2031, 2163, 381, 1378, 2049, 1149, 1001, 2005, 1116, 2060, 1240, 1164]"
381,Burrito,"[""bread""]","[""flatbread"", ""wrap""]","[""Mexican""]","[""Mexican""]","[""Mexico""]","[""Mexico""]",https://en.wikipedia.org/wiki/Burrito,"{""ar - Arabic"": ""بوريتو"", ""be - Belarusian"": ""Бурыта"", ""bg - Bulgarian"": ""Бурито"", ""ca - Catalan"": ""Burrito"", ""cs - Czech"": ""Burrito"", ""da - Danish"": ""Burrito"", ""de - German"": ""Burrito"", ""el - Greek"": ""Μπουρίτο"", ""en-simple - Simple English"": ""Burrito"", ""eo - Esperanto"": ""Burito"", ""es - Spanish"": ""Burrito"", ""eu - Basque"": ""Burrito"", ""fa - Persian"": ""بوریتو"", ""fi - Finnish"": ""Burrito"", ""fr - French"": ""Burrito"", ""fy - Western Frisian"": ""Burrito"", ""gl - Galician"": ""Burrito"", ""he - Hebrew"": ""בוריטו"", ""hr - Croatian"": ""Burrito"", ""hu - Hungarian"": ""Burrito"", ""hy - Armenian"": ""Բուրիտո"", ""id - Indonesian"": ""Burrito"", ""it - Italian"": ""Burrito"", ""ja - Japanese"": ""ブリート"", ""jv - Javanese"": ""Burrito"", ""ka - Georgian"": ""ბურიტო"", ""kg - Kongo"": ""QUICALAS"", ""kk - Kazakh"": ""Бурито"", ""ko - Korean"": ""부리토"", ""lo - Lao"": ""ແປ້ງມ້ວນເມັກຊິກ"", ""mk - Macedonian"": ""Бурито"", ""ms - Malay"": ""Burrito"", ""nb - Norwegian Bokmål"": ""Burrito"", ""nl - Dutch"": ""Burrito"", ""pl - Polish"": ""Burrito"", ""pt - Portuguese"": ""Burrito"", ""ru - Russian"": ""Буррито"", ""sr - Serbian"": ""Burito"", ""sv - Swedish"": ""Burrito"", ""th - Thai"": ""บูร์ริโต"", ""tr - Turkish"": ""Burrito"", ""ug - Uyghur"": ""بۇررىتو"", ""uk - Ukrainian"": ""Бурито"", ""ur - Urdu"": ""بوریتو"", ""uz - Uzbek"": ""Burrito"", ""vi - Vietnamese"": ""Burrito"", ""yue - Cantonese"": ""墨西哥卷"", ""zh - Chinese"": ""墨西哥卷饼""}","[2000, 1378, 2031, 1472, 379, 1473, 1947, 380, 2054, 2012, 208, 2396, 2016, 202, 43]","[2000, 1378, 1371, 1991, 2413]","[2000, 1378, 2031, 1472, 380, 2012, 2016, 2051, 2028, 2046, 2049, 2202, 1268, 2005, 1001]"
382,Karaage,"[""side dish""]","[""chicken"", ""deep-fried meat""]","[""Japanese""]","[""Japanese""]","[""Oita""]","[""Japan""]",https://en.wikipedia.org/wiki/Karaage,"{""da - Danish"": ""Karaage"", ""de - German"": ""Karaage"", ""es - Spanish"": ""Karaage"", ""fa - Persian"": ""کاراآگه"", ""fr - French"": ""Karaage"", ""he - Hebrew"": ""קאראגה"", ""hu - Hungarian"": ""Karaage"", ""id - Indonesian"": ""Karaage"", ""it - Italian"": ""Karaage"", ""ja - Japanese"": ""から揚げ"", ""jv - Javanese"": ""Karaagé"", ""ko - Korean"": ""가라아게"", ""ms - Malay"": ""Karaage"", ""pl - Polish"": ""Karaage"", ""pt - Portuguese"": ""Karaage"", ""ro - Romanian"": ""Karaage"", ""ru - Russian"": ""Караагэ"", ""th - Thai"": ""คาราอาเงะ"", ""tr - Turkish"": ""Karaage"", ""uk - Ukrainian"": ""Карааге"", ""vi - Vietnamese"": ""Karaage"", ""zh - Chinese"": ""唐扬""}","[392, 1706, 1312, 416, 393, 2399, 1156, 1672, 1253, 394, 2358, 1702, 5, 26, 1580]",[],"[2190, 1699, 1183, 1329, 94, 495, 2208, 384, 1187]"
383,Tempura,"[""side dish"",""seafood"",""vegetables""]","[""deep-fried meat"", ""deep-fried vegetables""]","[""Japanese""]","[""Japanese"", ""Portuguese""]","[""Japan""]","[""Japan""]",https://en.wikipedia.org/wiki/Tempura,"{""ar - Arabic"": ""تيمبورا"", ""ast - Asturian"": ""Tempura"", ""az - Azerbaijani"": ""Tempura"", ""bcl - Central Bikol"": ""Tempura"", ""ca - Catalan"": ""Tempura"", ""cs - Czech"": ""Tempura"", ""da - Danish"": ""Tempura"", ""de - German"": ""Tempura"", ""el - Greek"": ""Τεμπούρα"", ""en-simple - Simple English"": ""Tempura"", ""eo - Esperanto"": ""Tempuro"", ""es - Spanish"": ""Tempura"", ""eu - Basque"": ""Tenpura"", ""fa - Persian"": ""تمپورا"", ""fi - Finnish"": ""Tempura"", ""fr - French"": ""Tempura"", ""he - Hebrew"": ""טמפורה"", ""hr - Croatian"": ""Tenpura"", ""hu - Hungarian"": ""Tempura"", ""hy - Armenian"": ""Տեմպուրա"", ""hyw - Western Armenian"": ""Թեմփուրա"", ""id - Indonesian"": ""Tempura"", ""it - Italian"": ""Tempura"", ""ja - Japanese"": ""天ぷら"", ""jv - Javanese"": ""Tempura"", ""ka - Georgian"": ""ტემპურა"", ""kk - Kazakh"": ""Темпура"", ""ko - Korean"": ""덴푸라"", ""ms - Malay"": ""Tempura"", ""my - Burmese"": ""တမ်ပူရာ"", ""nan - Minnan"": ""Ten-pú-lah"", ""nb - Norwegian Bokmål"": ""Tempura"", ""nl - Dutch"": ""Tempura"", ""pl - Polish"": ""Tempura"", ""pt - Portuguese"": ""Tempura"", ""ru - Russian"": ""Тэмпура"", ""sk - Slovak"": ""Tempura"", ""sl - Slovenian"": ""Tempura"", ""sr - Serbian"": ""Тенпура"", ""sv - Swedish"": ""Tempura"", ""th - Thai"": ""เท็มปูระ"", ""tl - Tagalog"": ""Tempura"", ""tr - Turkish"": ""Tempura"", ""ug - Uyghur"": ""تېمپۇرا"", ""uk - Ukrainian"": ""Темпура"", ""vi - Vietnamese"": ""Tempura"", ""wuu - Wu"": ""天妇罗"", ""yue - Cantonese"": ""天麩羅"", ""zh - Chinese"": ""天婦羅""}","[1703, 1685, 1761, 1706, 2191, 526, 1705, 1701, 205, 1702, 465, 1704, 288, 1810, 95]",[],[]
384,Ngo hiang,"[""side dish""]","[""deep-fried meat""]","[""Chinese""]","[""Chinese"", ""Indonesian"", ""Malaysian"", ""Filipino"", ""Singaporean"", ""Thai""]","[""Fujian""]","[""China""]",https://en.wikipedia.org/wiki/Ngo_hiang,"{""es - Spanish"": ""Quíquiam"", ""fr - French"": ""Ngo hiang"", ""id - Indonesian"": ""Ngo hiang"", ""jv - Javanese"": ""Ngo hiang"", ""ms - Malay"": ""Loh bak"", ""th - Thai"": ""โลบะ"", ""zh - Chinese"": ""五香滷肉""}","[483, 189, 2226, 287, 269, 1763, 274, 539, 1327, 268, 303, 1368, 482, 279, 485]",[],"[1329, 94, 1699, 2208, 382, 2190, 1187, 1183, 495]"
385,Tonkatsu,"[""cutlet""]","[""pork cutlet"", ""meat cutlet""]","[""Japanese""]","[""Japanese""]","[""Japan""]","[""Japan""]",https://en.wikipedia.org/wiki/Tonkatsu,"{""bn - Bangla"": ""টোংকাটসু"", ""ca - Catalan"": ""Tonkatsu"", ""cy - Welsh"": ""Tonkatsu"", ""da - Danish"": ""Tonkatsu"", ""de - German"": ""Tonkatsu"", ""en-simple - Simple English"": ""Tonkatsu"", ""es - Spanish"": ""Tonkatsu"", ""eu - Basque"": ""Tonkatsu"", ""fa - Persian"": ""تونکاتسو"", ""fi - Finnish"": ""Tonkatsu"", ""fr - French"": ""Tonkatsu"", ""hy - Armenian"": ""Տոնկացու"", ""id - Indonesian"": ""Tonkatsu"", ""it - Italian"": ""Tonkatsu"", ""ja - Japanese"": ""豚カツ"", ""jv - Javanese"": ""Tonkatsu"", ""ko - Korean"": ""돈가스"", ""lmo - Lombard"": ""Tonkatsu"", ""ms - Malay"": ""Tonkatsu"", ""pl - Polish"": ""Tonkatsu"", ""pt - Portuguese"": ""Tonkatsu"", ""ru - Russian"": ""Тонкацу"", ""th - Thai"": ""ทงกัตสึ"", ""tl - Tagalog"": ""Tonkatsu"", ""tr - Turkish"": ""Tonkatsu"", ""uk - Ukrainian"": ""Тонкацу"", ""uz - Uzbek"": ""Tonkatsu"", ""vi - Vietnamese"": ""Tonkatsu"", ""yue - Cantonese"": ""日式炸豬扒"", ""zh - Chinese"": ""吉列豬排""}","[1697, 102, 1701, 1176, 1705, 484, 370, 270, 1994, 392, 1743, 515, 483, 413, 407]",[],"[1331, 1395, 1204, 386, 1496, 2258, 1504, 387, 1201, 388, 1202]"
386,Schnitzel,"[""cutlet""]","[""meat cutlet""]","[""Austrian""]","[""Jewish"", ""Israeli""]","[""Austria""]","[""Austria""]",https://en.wikipedia.org/wiki/Schnitzel,"{""ar - Arabic"": ""شنتزل"", ""arz - Egyptian Arabic"": ""شنيتزل"", ""az - Azerbaijani"": ""Şnitsel"", ""bg - Bulgarian"": ""Шницел"", ""ca - Catalan"": ""Schnitzel"", ""el - Greek"": ""Σνίτσελ"", ""en-simple - Simple English"": ""Schnitzel"", ""fa - Persian"": ""شنیتسل"", ""fi - Finnish"": ""Leike"", ""fr - French"": ""Escalope panée"", ""he - Hebrew"": ""שניצל"", ""hy - Armenian"": ""Շնիցել"", ""io - Ido"": ""Shnitzlo"", ""ja - Japanese"": ""シュニッツェル"", ""jv - Javanese"": ""Schnitzel"", ""ka - Georgian"": ""შნიცელი"", ""kk - Kazakh"": ""Шницель"", ""ko - Korean"": ""슈니첼"", ""ku - Kurdish"": ""Schnitzel"", ""lld - Ladin"": ""Snizel"", ""lt - Lithuanian"": ""Šnicelis"", ""mk - Macedonian"": ""Шницла"", ""ms - Malay"": ""Schnitzel"", ""nb - Norwegian Bokmål"": ""Snitsel"", ""nl - Dutch"": ""Schnitzel"", ""ru - Russian"": ""Шницель"", ""sv - Swedish"": ""Schnitzel"", ""th - Thai"": ""ชนิทเซิล"", ""uk - Ukrainian"": ""Шніцель"", ""vi - Vietnamese"": ""Schnitzel"", ""yi - Yiddish"": ""ווינער שניצל"", ""zh - Chinese"": ""炸肉排""}","[1504, 1496, 1490, 1505, 2116, 933, 1395, 1779, 1489, 1388, 1958, 1595, 363, 1459, 1155]","[1395, 387]","[1504, 1496, 1395, 1204, 1331, 1201, 2258, 1202, 387, 388, 385]"
387,Cotoletta alla milanese,"[""cutlet""]","[""meat cutlet""]","[""Italian""]","[""Italian""]","[""Milan""]","[""Italy""]",https://en.wikipedia.org/wiki/Veal_Milanese,"{""ar - Arabic"": ""ميلانيزا"", ""ca - Catalan"": ""Escalopa a la milanesa"", ""de - German"": ""Cotoletta alla milanese"", ""fa - Persian"": ""ویل میلانیز"", ""fr - French"": ""Escalope à la milanaise"", ""he - Hebrew"": ""קוטולטה נוסח מילנו"", ""it - Italian"": ""Cotoletta alla milanese"", ""ja - Japanese"": ""コトレッタ・アッラ・ミラネーゼ"", ""lmo - Lombard"": ""Custuleta a la milanesa"", ""nl - Dutch"": ""Kalfsvlees Milanese"", ""pt - Portuguese"": ""Bife à milanesa"", ""ru - Russian"": ""Отбивная по-милански"", ""tr - Turkish"": ""Cotoletta alla milanese"", ""yue - Cantonese"": ""米蘭豬扒""}","[388, 1499, 2258, 1501, 1395, 2346, 1204, 1979, 1495, 1502, 1360, 1842, 1504, 1492, 1505]","[1395, 386]","[388, 2258, 1395, 1204, 1504, 1496, 1331, 386, 1201, 385, 1202]"
388,Cotoletta alla bolognese,"[""cutlet""]","[""veal cutlet"", ""meat cutlet""]","[""Italian""]","[""Italian""]","[""Bologna""]","[""Italy""]",https://en.wikipedia.org/wiki/Cotoletta_alla_bolognese,"{""ca - Catalan"": ""Escalopa a la bolonyesa"", ""he - Hebrew"": ""קוטולטה נוסח בולוניה"", ""it - Italian"": ""Cotoletta alla bolognese"", ""ja - Japanese"": ""コトレッタ・アッラ・ボロネーゼ""}","[387, 2346, 1842, 1353, 1362, 1496, 1497, 1488, 1979, 1204, 1364, 1505, 1501, 866, 1504]",[],"[387, 1496, 1204, 1504, 2258, 1395, 1331, 1201, 386, 1202, 385]"
389,Hash browns,"[""side dish"", ""potato""]","[""deep-fried potato""]","[""American""]","[""American""]","[""United States""]","[""United States""]",https://en.wikipedia.org/wiki/Hash_browns,"{""ar - Arabic"": ""هاش براونز"", ""da - Danish"": ""Hash brown"", ""de - German"": ""Hash Browns"", ""el - Greek"": ""Χας μπράουνς"", ""es - Spanish"": ""Hash browns"", ""he - Hebrew"": ""האש בראונס"", ""id - Indonesian"": ""Hash browns"", ""it - Italian"": ""Hash browns"", ""ja - Japanese"": ""ハッシュドポテト"", ""jv - Javanese"": ""Hash soklat"", ""kn - Kannada"": ""ಹ್ಯಾಶ್ ಬ್ರೌನ್"", ""ko - Korean"": ""해시 브라운"", ""ms - Malay"": ""Hash browns"", ""nb - Norwegian Bokmål"": ""Røstipotet"", ""nl - Dutch"": ""Hash browns"", ""pl - Polish"": ""Hash brown"", ""ro - Romanian"": ""Hash Browns"", ""ru - Russian"": ""Хашбраун"", ""sv - Swedish"": ""Råraka"", ""th - Thai"": ""แฮชบราวน์"", ""vi - Vietnamese"": ""Bánh khoai tây bào chiên"", ""yue - Cantonese"": ""薯餅"", ""zh - Chinese"": ""马铃薯饼""}","[571, 2207, 2259, 1529, 1153, 2221, 1902, 392, 1331, 440, 1373, 1326, 2232, 1830, 1400]","[2259, 392, 393]","[392, 391, 390]"
390,Aloo tikki,"[""side dish"", ""potato""]","[""boiled potato""]","[""Indian"", ""Bangladeshi"", ""Pakistani""]","[""Indian"", ""Bangladeshi"", ""Pakistani""]","[""India"", ""Bangladesh"", ""Pakistan""]","[""India"", ""Bangladesh"", ""Pakistan""]",https://en.wikipedia.org/wiki/Aloo_tikki,"{""bn - Bangla"": ""আলু টিক্কি"", ""da - Danish"": ""Aloo tikki"", ""es - Spanish"": ""Alu tikki"", ""fr - French"": ""Aloo tikki"", ""he - Hebrew"": ""אלו טיקי"", ""it - Italian"": ""Aloo tikki"", ""jv - Javanese"": ""Aloo tikki"", ""kn - Kannada"": ""ಆಲೂ ಟಿಕ್ಕಿ"", ""nb - Norwegian Bokmål"": ""Aloo tikki"", ""or - Odia"": ""ଆଳୁ ଟିକ୍କି"", ""pa - Punjabi"": ""ਆਲੂ ਟਿੱਕੀ"", ""te - Telugu"": ""ఆలూ టిక్కీ"", ""ur - Urdu"": ""آلو ٹکی""}","[1873, 887, 7, 1241, 184, 55, 167, 1937, 1383, 1920, 2266, 56, 1767, 1711, 1168]",[],"[392, 389, 391]"
391,Croquette,"[""side dish"", ""potato""]","[""deep-fried potato"",""deep-fried roll""]","[""French""]","[""French""]","[""France""]","[""France""]",https://en.wikipedia.org/wiki/Croquette,"{""af - Afrikaans"": ""Kroket"", ""az - Azerbaijani"": ""Kroket"", ""bg - Bulgarian"": ""Крокет"", ""ca - Catalan"": ""Croqueta"", ""cs - Czech"": ""Kroketa"", ""da - Danish"": ""Kartoffelkroketter"", ""de - German"": ""Kroketten"", ""el - Greek"": ""Κροκέτα"", ""eo - Esperanto"": ""Krokedo"", ""es - Spanish"": ""Croqueta"", ""eu - Basque"": ""Kroketa"", ""ext - Extremaduran"": ""Cocreta"", ""fr - French"": ""Croquette"", ""gl - Galician"": ""Croqueta"", ""he - Hebrew"": ""קרוקט"", ""hu - Hungarian"": ""Krokett"", ""hy - Armenian"": ""Կրոկետներ"", ""id - Indonesian"": ""Kroket"", ""it - Italian"": ""Crocchetta"", ""ja - Japanese"": ""クロケット"", ""jv - Javanese"": ""Kroket"", ""ko - Korean"": ""크로켓"", ""la - Latin"": ""Croquetta"", ""li - Limburgish"": ""Kroket"", ""ms - Malay"": ""Croquette"", ""nb - Norwegian Bokmål"": ""Krokett"", ""nl - Dutch"": ""Kroket"", ""pl - Polish"": ""Krokiet"", ""pt - Portuguese"": ""Croquete"", ""ru - Russian"": ""Крокеты"", ""scn - Sicilian"": ""Baddòttula"", ""su - Sundanese"": ""Karokét"", ""sv - Swedish"": ""Kroketter"", ""th - Thai"": ""ครอแก็ต"", ""tl - Tagalog"": ""Kroketa"", ""uk - Ukrainian"": ""Крокети"", ""zh - Chinese"": ""可樂餅""}","[757, 2283, 1752, 1442, 394, 756, 1331, 392, 818, 1319, 432, 1078, 799, 758, 1498]",[],"[392, 389, 390]"
392,Korokke,"[""side dish"", ""potato""]","[""deep-fried potato""]","[""Japanese""]","[""Japanese""]","[""Japan""]","[""Japan""]",https://en.wikipedia.org/wiki/Korokke,"{""ar - Arabic"": ""كوروكي"", ""az - Azerbaijani"": ""Korokke"", ""es - Spanish"": ""Korokke"", ""fa - Persian"": ""کوروکه"", ""fr - French"": ""Korokke"", ""hy - Armenian"": ""Կորոկե"", ""ja - Japanese"": ""コロッケ"", ""jv - Javanese"": ""Korokké"", ""ko - Korean"": ""고로케"", ""pa - Punjabi"": ""ਕੋਰੋਕੇ"", ""pt - Portuguese"": ""Korokke"", ""ru - Russian"": ""Короккэ"", ""th - Thai"": ""โครกเกะ"", ""tr - Turkish"": ""Korokke"", ""uk - Ukrainian"": ""Корокке"", ""vi - Vietnamese"": ""Korokke"", ""zh - Chinese"": ""日式可樂餅""}","[382, 1706, 939, 391, 394, 585, 1372, 1701, 413, 2221, 1487, 270, 1381, 933, 1700]","[393, 389, 2259]","[391, 389, 390]"
393,Kripik,"[""potato"", ""snack""]","[""deep-fried potato""]","[""Indonesian""]","[""Indonesian""]","[""Indonesia""]","[""Indonesia""]",https://en.wikipedia.org/wiki/Kripik,"{""fr - French"": ""Kripik"", ""id - Indonesian"": ""Keripik"", ""jv - Javanese"": ""Kripik"", ""jv-x-bms - Basa Banyumasan"": ""Kripik"", ""su - Sundanese"": ""Kiripik""}","[394, 290, 1308, 15, 162, 382, 1319, 392, 2399, 2225, 1095, 93, 649, 27, 2190]","[392, 2259, 389]",[2259]
394,Krupuk,"[""snack""]","[""crackers""]","[""Indonesian""]","[""Indonesian""]","[""Java""]","[""Indonesia""]",https://en.wikipedia.org/wiki/Krupuk,"{""bcl - Central Bikol"": ""Kropek"", ""ceb - Cebuano"": ""Kropek"", ""cs - Czech"": ""Krupuk"", ""da - Danish"": ""Krupuk"", ""eo - Esperanto"": ""Krupuko"", ""es - Spanish"": ""Keropok"", ""fr - French"": ""Krupuk"", ""id - Indonesian"": ""Kerupuk"", ""ja - Japanese"": ""クルプック"", ""jv - Javanese"": ""Krupuk"", ""ko - Korean"": ""크루푹"", ""ms - Malay"": ""Keropok"", ""nl - Dutch"": ""Kroepoek"", ""ru - Russian"": ""Крупук"", ""su - Sundanese"": ""Kurupuk"", ""tl - Tagalog"": ""Kropek"", ""uk - Ukrainian"": ""Крупук""}","[393, 799, 530, 391, 1319, 1069, 392, 648, 642, 612, 433, 15, 432, 1906, 423]",[649],"[648, 612, 649, 1253, 1146, 1672, 791, 647, 1308, 124, 669, 1312, 616, 622, 585]"
395,Bánh mì,"[""bread""]","[""sandwich""]","[""Vietnamese""]","[""Vietnamese""]","[""Vietnam""]","[""Vietnam""]",https://en.wikipedia.org/wiki/B%C3%A1nh_m%C3%AC,"{""bcl - Central Bikol"": ""Bánh mì"", ""cs - Czech"": ""Bánh mì"", ""de - German"": ""Bánh mì"", ""el - Greek"": ""Μπαν Μι"", ""en-simple - Simple English"": ""Banh mi"", ""eo - Esperanto"": ""Bánh mì"", ""es - Spanish"": ""Bánh mì"", ""et - Estonian"": ""Bánh mì"", ""fa - Persian"": ""بان می"", ""fr - French"": ""Bánh mì"", ""id - Indonesian"": ""Bánh mì"", ""it - Italian"": ""Bánh mì"", ""ja - Japanese"": ""バインミー"", ""jv - Javanese"": ""Bánh mì"", ""ko - Korean"": ""바인미"", ""ms - Malay"": ""Bánh mì"", ""nl - Dutch"": ""Bánh mì"", ""pl - Polish"": ""Bánh mì"", ""pt - Portuguese"": ""Bánh mì"", ""ro - Romanian"": ""Bánh mì"", ""sr - Serbian"": ""Бан ми"", ""th - Thai"": ""บั๊ญหมี่"", ""tl - Tagalog"": ""Bánh mì"", ""uk - Ukrainian"": ""Бань мі"", ""uz - Uzbek"": ""Banh mi"", ""vi - Vietnamese"": ""Bánh mì Việt Nam"", ""yue - Cantonese"": ""越南法包"", ""zh - Chinese"": ""越式法包""}","[510, 490, 250, 300, 1141, 249, 47, 492, 493, 374, 411, 488, 72, 48, 1366]","[360, 1406, 1728, 1698, 1736, 848, 1760, 1435, 1758, 2160, 1755, 1743, 1697, 1442, 1952]","[510, 1141, 411, 360, 511, 1085, 2377, 1773, 1044, 508, 2376, 1006, 1413, 1056, 1868]"
396,Bistek,"[""meat""]","[""steak""]","[""Filipino""]","[""Filipino""]","[""Western Visaya""]","[""Philippines""]",https://en.wikipedia.org/wiki/Bistek,"{""ar - Arabic"": ""بيستيك"", ""bjn - Banjar"": ""Bistik"", ""jv - Javanese"": ""Bistek"", ""tl - Tagalog"": ""Bistek""}","[1553, 2229, 1310, 1582, 2154, 1233, 1487, 1205, 2147, 543, 2061, 1440, 84, 2115, 1202]","[2342, 1840]","[2229, 1310, 2154, 1233, 2147, 2061, 2115, 1987, 2023, 1965, 2062, 1770, 2044, 1959, 1285]"
397,Mandu,"[""side dish"", ""dumpling""]","[""mixed dumpling""]","[""Korean""]","[""Korean""]","[""Korean""]","[""Korea""]",https://en.wikipedia.org/wiki/Mandu_(food),"{""ban - Balinese"": ""Mandu"", ""de - German"": ""Mandu"", ""en-simple - Simple English"": ""Mandu"", ""es - Spanish"": ""Mandu"", ""fr - French"": ""Mandu"", ""hu - Hungarian"": ""Mandu"", ""hy - Armenian"": ""Մանդու"", ""id - Indonesian"": ""Mandu"", ""it - Italian"": ""Mandu"", ""ja - Japanese"": ""マンドゥ"", ""jv - Javanese"": ""Mandu"", ""ko - Korean"": ""만두"", ""ms - Malay"": ""Mandu"", ""nl - Dutch"": ""Mandu"", ""ru - Russian"": ""Манду"", ""sv - Swedish"": ""Mandu"", ""tl - Tagalog"": ""Mandu"", ""tr - Turkish"": ""Mandu"", ""uk - Ukrainian"": ""Манду"", ""vi - Vietnamese"": ""Mandu"", ""yue - Cantonese"": ""韓式餃"", ""zh - Chinese"": ""馒头""}","[503, 398, 401, 128, 2043, 402, 523, 1713, 405, 537, 507, 1176, 406, 1390, 897]","[398, 402, 403, 400, 399]","[398, 401, 402, 405, 403, 404, 400, 399]"
398,Gyoza,"[""side dish"", ""dumpling""]","[""mixed dumpling""]","[""Japanese""]","[""Japanese""]","[""Japanese""]","[""Japan""]",https://en.wikipedia.org/wiki/Jiaozi#Gy%C5%8Dza,"{""ar - Arabic"": ""جياوزو"", ""ca - Catalan"": ""Jiaozi"", ""de - German"": ""Jiaozi"", ""es - Spanish"": ""Jiaozi"", ""fa - Persian"": ""جیائوزی"", ""fr - French"": ""Jiaozi"", ""gl - Galician"": ""Iaosi"", ""he - Hebrew"": ""ג'יאוזי"", ""hu - Hungarian"": ""Csiaoce"", ""hy - Armenian"": ""Ցզյաոցզի"", ""id - Indonesian"": ""Jiaozi"", ""it - Italian"": ""Jiaozi"", ""ja - Japanese"": ""餃子"", ""jv - Javanese"": ""Jiaozi"", ""ka - Georgian"": ""ჯიაოზი"", ""ko - Korean"": ""자오쯔"", ""ms - Malay"": ""Jiaozi"", ""my - Burmese"": ""ဖက်ထုပ်"", ""nan - Minnan"": ""Chúi-kiáu"", ""nb - Norwegian Bokmål"": ""Jiaozi"", ""pl - Polish"": ""Jiaozi"", ""ro - Romanian"": ""Jiaozi"", ""ru - Russian"": ""Цзяоцзы"", ""sv - Swedish"": ""Jiaozi"", ""th - Thai"": ""เกี๊ยวซ่า"", ""tr - Turkish"": ""Jiaozi"", ""uk - Ukrainian"": ""Цзяоцзи"", ""vi - Vietnamese"": ""Sủi cảo"", ""wuu - Wu"": ""饺子"", ""yue - Cantonese"": ""餃"", ""zh - Chinese"": ""饺子""}","[397, 405, 897, 1713, 1176, 2043, 402, 2325, 406, 775, 407, 413, 539, 399, 1714]","[397, 402, 399, 403, 400]","[397, 405, 402, 399, 403, 401, 404, 400]"
