context,type,Base Text,English,Indonesian (Formal),Indonesian (Casual),Chinese (Mandarin),Korean (Formal),Korean (Casual),Japanese (Formal),Japanese (Casual),Sundanese (Loma),Javanese (Krama),Javanese (Ngoko),Czech,Spanish,French,Arabic (MSA),Hindi,Marathi,Bengali,Sinhala  (formal-spoken),Yoruba,Cantonese,Hokkien (Medan),Hokkien (Medan - Spoken),Tagalog,Thai,Azerbaijani,Russian (Casual),Russian (Formal),Italian,Sardinian (Logudorese)
no_context,cuisine,Where does this dish originate from?,Where does this dish originate from?,Dari manakah asal usul dari hidangan ini?,Dari mana asal makanan ini?,这道菜起源于哪里？,이 요리는 어디에서 유래했나요?,이 요리는 어디에서 유래했어?,この料理はどこが発祥の地ですか?,この料理、どこが発祥？,Ieu pasakan téh asalna ti mana?,Saking pundi asalipun dhaharan punika?,Teko ndi asale panganan iki?,Jaký je původ tohoto pokrmu?,¿De dónde se origina este plato?,D'où est-ce que ce plat est-il originaire?,ما هو أصل هذا الطبق؟,यह व्यंजन कहाँ से आया है?,या खाद्यपदार्थाचा उगम कुठून झाला आहे?,এই খাবারের উৎপত্তি স্থল কোথায়?,මෙම කෑම වර්ගය ආරම්භවූයේ කොහෙන්ද?,Ibo ni oúnjẹ yìí ti ṣẹ̀wá?,呢道菜嘅本土起源係乜嘢？,这类菜是dari佗落来的?,ce le chai si dari ta lok lai e?,Saan galing ang lutong ito?,อาหารจานนี้กำเนิดจากที่ไหน?,Bu xörək haradan qaynaqlanır?,Откуда родом это блюдо?,Откуда родом это блюдо?,Dove nasce questo piatto?,Inue naschede custu piàttu?
no_context,cuisine,Which country claims this dish as part of its cuisine?,Which country's cuisine is this dish said to belong to?,Negara manakah yang mengklaim makanan ini sebagai bagian kulinernya?,Negara mana yang ngeklaim makanan ini sebagai bagian kulinernya?,哪个国家声称这道菜属于该国菜系？,이 요리를 자기 나라 요리라고 주장하는 나라는 어디인가요?,이 요리를 자기 나라 요리라고 주장하는 나라는 어디야?,どの国がこの料理を自国の料理の一部として主張していますか?,どの国がこの料理を自分の国の料理って言ってる？,Nagara mana anu ngaku ieu pasakan jadi idanganna?,Negari pundi ingkang ngakeni dhaharan menika dados dhaharan asal nagarinipun?,Negoro ndi sing ngeklaim panganan iki dadi panganan asal negorone?,Jaká země prohlašuje tento pokrm za součást své kuchyně?,¿Qué país afirma que este plato forma parte de su gastronomía?,Quel pays revendique ce plat comme faisant partie de sa cuisine?,من أي بلد يدعي أنّ هذا الطبق جزء من مطبخه؟,कौनसा देश इस खाने को अपने व्यंजन का हिस्सा होने का दावा करता है?,कोणता देश या जेवणाला त्याच्या पाककृतीचा भाग म्हणून दावा करतो?,কোন দেশ এই খাবারটিকে তার রন্ধনপ্রণালীর অংশ হিসেবে দাবি করে?,මෙම කෑම වර්ගය අයත් යැයි කියනු ලබන්නේ කුමන රටේ ආහාර පිසීමකටද?,Orílẹ̀-ède wo ló ma ń sọ pé irúfẹ́ oúnjẹ yìí wà lára oúnjẹ wọn?,邊個國家聲稱呢道菜係佢哋嘅菜系一部分？,佗落国家讲这类菜是他人的系菜来?,ta lok kok ke kong ce le chai si i lang e sek chai lai?,Anong kultura ang nagsasabing galing sakanila ang lutong ito?,ประเทศใดที่เคลมว่าอาหารจานนี้เป็นส่วนหนึ่งของอาหารตนเอง?,Hansı ölkə bu xörəyi öz mətbəxinin bir hissəsi kimi qəbul edir?,Какая страна считает это блюдо частью своей кухни?,Какая страна считает это блюдо частью своей кухни?,Quale paese considera questo piatto come parte della propria cucina?,Cale paese de su mundu podede considerare custu piàttu tipicu de sa propria coghina tipica?
no_context,cuisine,Which country’s cuisine does this dish come from?,Which country's cuisine does this dish belong to?,Dari kuliner negara manakah hidangan ini berasal?,Makanan ini dari kuliner negara mana?,这道菜来自哪个国家的料理？,이 요리는 어느 나라 요리에서 유래되었나요?,이 요리는 어느 나라 요리에서 유래되었어?,この料理は、どの国の料理に由来しますか？,この料理、どこの国から来てるの？,Ti idangan nagara mana asal ieu pasakan?,Saking kuliner negari pundi asalipun dhaharan menika?,Teko kuliner negoro ndi asale panganan iki?,Z kuchyně které země pochází tento pokrm?,¿De qué país proviene la gastronomía de este plato?,Quel est le pays de la cuisine de laquelle ce plat est originaire?,من بلد أي مطبخ هذا الطبق؟,यह खाना किस देश के व्यंजन से आया है?,हा खाद्यपदार्थ कोणत्या देशाच्या पाककृतीतून आला आहे?,কোন দেশের রন্ধনপ্রণালী থেকে এই খাবারটি এসেছে?,මෙම කෑම වර්ගය අයත් වන්නේ කුමන රටේ ආහාර පිසීමකටද? ,Oúnjẹ orílẹ̀-èdè wo ní irúfẹ́ oúnjẹ yìí ti wá?,呢道菜係邊個國家嘅菜嚟嘅？,这类菜是dari佗落国家的系菜来的?,ce le chai si dari ta lok kok ke e sek chai lai e?,Mula sa lutuin ng aling bansa galing ang lutong ito?,อาหารจานนี้มาจากประเทศใด?,Bu xörək hansı ölkənin mətbəxindəndir?,Из кухни какой страны это блюдо?,Из кухни какой страны это блюдо?,Da quale cucina nazionale viene questo piatto?,Dai cale coghina natzionale benidi custu piàttu?
no_context,cuisine,Which country's cuisine features this dish?,Which country's cuisine includes this dish?,Hidangan negara manakah yang mempunyai hidangan ini?,Makanan ini punya kuliner negara mana?,这道菜是哪个国的特色菜？,이 요리는 어느 나라에서 특징적으로 찾아볼 수 있나요?,이 요리는 어느 나라에서 특징적으로 찾아볼 수 있어?,この料理はどの国の料理の特徴を持っていますか?,この料理って、どこの国の特徴があるの？,Idangan nagara mana anu boga ieu pasakan?,Kuliner negari pundi ingkang nyiriksaken dhaharan menika?,Kuliner negoro ndi sing nyirikne panganan iki?,Součástí kuchyně které země je toto jídlo?,¿Qué país incluye este plato en su gastronomía?,De quel pays est la cuisine qui met ce plat en valeur?,ماهو بلد المطبخ الذي يميِّز هذا الطبق؟,यह खाना किस देश के व्यंजन में शामिल है?,कोणत्या देशाच्या पाककृतीमध्ये हे जेवण आहे?,এই খাবারের পদটি কোন দেশের রন্ধনপ্রণালীর বৈশিষ্ট্য?,මෙම කෑම වර්ගය ඇතුළත් වන්නේ කුමන රටේ ආහාර පිසීමකටද?,Orílẹ̀-èdè wo ni wọ́n ti máa ń se oúnjẹ yìí?,邊個國家嘅菜系有呢道菜？,这类菜是佗落国家的特别系菜?,ce le chai si ta lok kok ke e te piet sek chai?,Mula sa lutuin ng aling bansa sikat ang lutong ito?,อาหารของประเทศใดที่มีอาหารจานนี้?,Hansı ölkənin mətbəxində bu yemək var?,Кухня какой страны включает это блюдо?,Кухня какой страны включает это блюдо?,Quale cucina nazionale è caratterizzata da questo piatto?,Cale coghina natzionale este caratterizada dae custu piàttu?
no_context,cuisine,What culinary heritage does this dish belong to?,To which culinary heritage does this dish belong?,Milik warisan kuliner manakah hidangan ini?,Makanan ini bagian dari warisan kuliner mana?,这道菜属于哪种传统烹饪方式？,이 요리는 어느 나라의 식문화에서 유래되었나요?,이 요리는 어느 나라의 식문화에서 유래되었어?,この料理はどの国の食文化に属しますか?,この料理は、どこの国の食文化に属してるの？,Warisan kulinér naon anu mikaboga ieu pasakan?,Saking kabudayan kuliner pundi asalipun dhaharan menika?,Teko kebudayaan kuliner ngendi asale panganan iki?,Do jakého kulinářského dědictví tento pokrm patří?,¿A qué patrimonio gastronómico pertence este plato?,A quel héritage culinaire appartient ce plat?,إلى أي تراث ينتمي هذا الطبق؟,यह व्यंजन किस पाक विरासत से जुड़ा है?,हा खाद्यपदार्थ कोणत्या पाककृती वारशाची आहे?,কোন জায়গার রান্নার ঐতিহ্য এই খাবার ?,මෙම කෑම වර්ගය අයත් වන්නේ කුමන සූපශාස්ත්‍ර උරුමයටද?,Inú àṣà oúnjẹ sísè wo irúfẹ́ oúnjẹ yìí wà? ,呢道菜屬於邊個烹飪文化？,这类菜的原来是dari佗落系菜来的?,ce le chai e guan lai si dari ta lok sek chai lai e?,Mula sa lutuin ng aling kultura galing ang lutong ito?,อาหารจานนี้เป็นมรดกในประเทศใด?,Bu yemək hansı kulinariya irsinə aiddir?,Какому кулинарному наследию принадлежит это блюдо?,Какому кулинарному наследию принадлежит это блюдо?,A quale patrimonio culinario appartiene questo piatto?,De cale patrimoniu de sa coghina tìpica faghet parte custu piàttu?
no_context,cuisine,Where did this dish first develop?,From where did this dish originate?,Dimakah untuk pertama kalinya hidangan ini dikembangkan?,Dari mana makanan ini awalnya muncul?,这道菜最早在哪里发展起来的？,이 요리는 어디에서 처음 개발되었나요?,이 요리는 어디에서 처음 개발되었어?,この料理はどこで最初に発展しましたか?,この料理、最初どこで広まったの？,Di mana mimitina ieu pasakan dijieun?,Ing pundi dhaharan menika kapisan dikembangaken?,Nang ngendi panganan iki pertama dikembangke?,Kde vzniklo toto jídlo?,¿En dónde se creó este plato?,Où est-ce que ce plat s'est-il développé en premier?,أين تطور هذا الطبق؟,यह व्यंजन सबसे पहले कहाँ विकसित हुआ?,हे जेवण प्रथम कोठे विकसित झाली?,এই খাবার প্রথম কোথায় উদ্ভব হয়?,මෙම කෑම වර්ගය පැවතෙන්නේ කොතැන සිටද?,Ibo ni irúfẹ́ oúnjẹ yìí ti kọ́kọ́ jẹyọ?,呢道菜最早喺邊度發展？,这类菜头一次是在佗落做出来的?,ce le chai thau ce pai si khi ta lok co chut lai e?,Mula saan unang nagawa ang lutong ito?,อาหารจานนี้ถูกคิดค้นครั้งแรกเมื่อไหร่?,Bu xörək ilk dəfə harada yaranıb?,Где впервые появилось это блюдо?,Где впервые появилось это блюдо?,Dove è nato questo piatto in origine?,Inue este naschidu custu piàttu?
no_context,cuisine,Which country is known for creating this dish?,Which region is known for inventing this dish?,Daerah manakah yang dikenal sebagai pencipta hidangan ini?,Negara mana yang buat makanan ini?,哪个国家以创造这道菜而闻名？,이 요리를 만든 것으로 알려진 나라는 어디인가요?,이 요리를 만든 것으로 알려진 나라는 어디야?,この料理はどの国で考案されたことで知られていますか?,この料理、どこの国で考えられたものなの？,Nagara mana anu dipikawanoh keur nyieun ieu pasakan?,Negari pundi ingkang misuwur nyiptakaken dhaharan punika?,Negoro ngendi sing terkenal nyiptakake panganan iki?,"Která země je známá tím, že v ní vznikl tento pokrm?",¿Qué país se conoce por crear este plato?,Quel est le pays connu pour avoir inventé ce plat?,ما هو البلد الذي عُرِف باختراع هذا الطبق؟,इस व्यंजन को बनाने के लिए कौन सा देश जाना जाता है?,हा खाद्यपदार्थ तयार करण्यासाठी कोणता देश ओळखला जातो?,কোন দেশ এই খাবারটি উদ্ভাবনের জন্য পরিচিত?,මෙම කෑම වර්ගය පිලියෙල කිරීම සදහා ප්‍රසිද්ධියට පත්වූ රට කුමක්ද ?,Orílẹ̀ èdè wo ni ó ma ń ṣe irúfẹ́ oúnjẹ yìí?,邊個國家以創造呢道菜聞名？,佗落一个国家因为做出来这类菜变出名在?,ta lok ce kai kok ke in wi co chut lai ce le chai pien chut mia khi?,Aling bansa ang kilala bilang imbentor ng lutong ito?,ประเทศใดที่ถูกรู้จักว่าสร้างอาหารจานนี้?,Hansı ölkə bu yeməyi yaratmaqla məşhurdur?,"Какая страна известна тем, что создала это блюдо?","Какая страна известна тем, что создала это блюдо?",Quale paese è noto per avere creato questo piatto?,Cale paese de su mundu este connottu pro aere criàdu custu piàttu?
no_context,cuisine,Which country does this dish represent in its food culture?,"In food culture, which country is this dish representative of?",Negara manakah yang mewakili hidangan ini pada budaya makanannya?,Makanan ini bagian dari budaya kuliner negara mana?,这道菜在饮食文化中代表哪个国家？,이 요리는 어느 나라의 음식 문화를 대표하나요?,이 요리는 어느 나라의 음식 문화를 대표하니?,この料理はどの国の食文化を代表する料理ですか?,この料理は、どこの国を代表するもの？,Nagara mana anu budayana diwakilan ku ieu pasakan?,Negari pundi ingkang dipunrepresentasikaken saking budaya dhaharan menika?,Negoro ndi sing direpresentasikne teko budaya panganan iki?,Kterou zemi reprezentuje tento pokrm v rámci kultury stravování?,¿Qué país representa este plato en su cultura alimentaria?,Quel pays ce plat représente-t-il dans la culture culinaire?,ماهو تراث البلد الذي يمثله هذا الطبق؟,यह व्यंजन खाद्य संस्कृति में किस देश का प्रतिनिधित्व करता है?,हा खाद्यपदार्थ खाद्यसंस्कृतीत कोणत्या देशाचे प्रतिनिधित्व करतो?,এই খাবার কোন দেশের রন্ধন শৈলীর বৈশিষ্ট্য ?,"මෙම කෑම වර්ගය  කුමන රටේ ආහාර සංස්කෘතිය නියොජනය කරන්නේද?
",Orílẹ̀-èdè wo ni irúfẹ́ oúnjẹ yìí dúró fún nínú àṣà oúnjẹ? ,呢道菜代表邊個國家嘅飲食文化？,这类菜来代表佗落国家的系菜文化?,ce le chai lai tai piao ta lok kok ke e sek chai bun hoa?,Aling bansa ang nirerepresenta ng lutong ito?,ประเทศใดที่ถูกนำเสนอด้วยอาหารจานนี้?,Bu xörək hansı ölkənin yemək mədəniyyətini əks etdirir?,Какую страну представляет это блюдо в своей культуре питания?,Какую страну представляет это блюдо в своей культуре питания?,Quale paese rappresenta questo piatto nella cultura del cibo?,Cale Istadu rappresentada custu piàttu tìpicu in sa cultura mondiale?
no_context,cuisine,Where does this dish have its culinary roots?,Where are the culinary roots of this dish?,Dimanakah akar kuliner dari hidangan ini?,Makanan ini asal usul kulinernya dari mana?,这道菜的烹饪最初起源于哪里？,이 요리는 어느 나라에 뿌리를 두고 있나요?,이 요리는 어느 나라에 뿌리를 두고 있어?,この料理の食文化のルーツはどこですか?,この料理のルーツってどこ？,Ti mana akar kulinér ieu pasakan?,Ing pundi dhaharan menika gadhah akar kulinernipun?,Nang ngendi panganan iki nduwe akar kuliner e?,Kde má toto jídlo své kulinářské kořeny?,¿De dónde son las raíces culinarias de este plato?,Quelles sont les racines culinaires de ce plat?,إلى أين تعود جذور هذا الطبق؟,इस व्यंजन की पाक जड़ें कहाँ हैं?,या जेवणाची स्वयंपाकाची मुळे कोठे आहेत?,এই খাবারের পদটির রান্নার শেকড় কোথায়?,මෙම කෑම වර්ගයේ සූප ශාස්ත්‍ර මූලයන් කොහෙද?,Ibo ni orísun irúfẹ́ oúnjẹ yìí? ,呢道菜嘅烹飪根源喺邊度？,这类菜的本地是dari佗落来的?,ce le chai e pun te si dari ta lok lai e?,Mula saan nag-ugat ang lutong ito?,อาหารจานนี้มีรากฐานมาจากที่ไหน?,Bu xörəyin kulinariya kökləri haradadır?,Где это блюдо имеет свои кулинарные корни?,Где это блюдо имеет свои кулинарные корни?,Dove ha questo piatto le proprie radici culinarie?,Custu piàttu inue àda sa raighinas de sa coghina?
no_context,cuisine,Which country introduced this dish?,Which country introduced this dish?,Negara manakah yang memperkenalkan hidangan ini?,Negara mana yang ngenalin makanan ini ke dunia?,哪个国家引进了这道菜？,이 요리를 만든 나라는 어디인가요?,이 요리를 만든 나라는 어디야?,この料理はどの国が紹介しましたか?,この料理って、どこの国が紹介したの？,Nagara mana anu ngawanohkeun ieu pasakan?,Negari pundi ingkang ngenalaken dhaharan menika?,Negoro ndi sing ngenalke panganan iki?,Která země přinesla světu tento pokrm?,¿Qué país introdujo este plato?,Quel est le pays qui a introduit ce plat?,ماهو البلد الذي قدّم هذا الطبق للعالم؟,इस व्यंजन को किस देश ने पेश किया?,हा खाद्यपदार्थ कोणत्या देशाने सादर केला?,কোন দেশ এই খাবারটি চালু করেছে?,මෙම ආහාරය හඳුන්වා දුන් රට කුමක්ද?,Orílẹ̀-èdè wo ló ṣàfihàn oúnjẹ yìí?,邊個國家引入咗呢道菜？,佗落国家在介绍这类菜?,ta lok kok ke khi kai siao ce le chai?,Aling bansa ang nagpakilala ng lutong ito?,ประเทศใดนำเสนออาหารจานนี้?,Hansı ölkə ilk olaraq bu xörəyi təqdim edib?,Какая страна придумала это блюдо?,Какая страна придумала это блюдо?,Quale paese ha introdotto questo piatto?,Cale paese de su mundu àda fattu connoschere a tottu custu tipu de manigu?
with_context,name,I tried this food when I visited <LOCATION>. What is it called?,I tried this food when I visited <LOCATION>. What is it called?,Saya memcoba makanan ini ketika dahulu berkunjung ke <LOCATION>. Disebut apakah ini?,Aku nyoba makanan ini pas pergi ke <LOCATION>. Namanya apa ya?,我之前在<LOCATION>吃过这种食物。它叫什么名字？,<LOCATION>에 갔을 때 이 음식을 먹어봤어요. 이 음식은 뭐라고 부르나요?,<LOCATION>에 갔을 때 이 음식을 먹어봤어. 이 음식은 뭐라고 불러?,<LOCATION>を訪れた際にこの食べ物を試してみました。これは何と呼ばれているのでしょうか?,<LOCATION>に行った時にこの食べ物を食べたんだけど、これって何て呼ぶの？,Urang nyobaan ieu kadaharan basa harita urang ngadatangan <LOCATION>. Ieu téh disebutna naon?,Kula nyobi dhaharan menika nalikan kula dhateng <LOCATION> kala rumiyin. Asmanipun nopo?,Aku njajal panganan iki wektu aku moro menyang <LOCATION> mbiyen. Opo jenenge?,"Toto jídlo jsem ochutnal, když jsem onehdy byl <LOCATION.in>. Jak se jmenuje?",Probé esta comida cuando visité <LOCATION> en el pasado. ¿Cúal es su nombre?,J'ai essayé ce plat lorsque j'ai visité <LOCATION.art> à l'époque. Comment l'appelle-t-on?,لقد جربت هذا الطعام عندما زرت <LOCATION> في ما مضى. ما اسمه؟,मैंने यह खाना तब खाया था जब मैं <LOCATION> गया था। इसे क्या कहते हैं?,तेव्हा मी <LOCATION>ला भेट दिली होती तेव्हा मी हे अन्न वापरून पाहिले. त्याला काय म्हणतात?,আমি সেবার  যখন <LOCATION> গিয়েছিলাম তখন এই খাবারটা খেয়েছিলাম। এটার নাম কি যেন ?,මම <LOCATION> ගිය විට  මෙම ආහාරය උත්සාහ කළෙමි. එය හඳුන්වන්නේ කෙසේද?,Mo gbìyànjú oúnjẹ yìí wò nígbà tí mo ṣe àbẹ̀wo lọ sí <LOCATION>. Kí ni wọ́n ń pè é?,我之前去<LOCATION>嘅時候試過呢樣嘢食。佢叫咩名？,我古早在<LOCATION>coba过这类东西吃。叫做啥物哦?,wa ku ca khi <LOCATION> coba kuei ce le mik kia ciak. Kio co ha mik o?,Nasubukan ko ang pagkaing ito noong bumisita ako sa <LOCATION>.,ฉันเคยลองอาหารจานนี้ ตอนที่ฉันไปเที่ยว<LOCATION>สมัยก่อน มันเรียกว่าอะไร?,<LOCATION>-ə səfərim zamanı bu yeməyi yemişdim. Adı nədir?,"Я пробовала это блюдо, когда была в <LOCATION.prep>. Как оно называется?","Я пробовала это блюдо, когда была в <LOCATION.prep>. Как оно называется?",Ho provato questo cibo quando ho visitato <LOCATION>. Come si chiama?,Appo proadu custu itte manigare cando so andadu a Location. Comente si giamat?
with_context,name,How do people in <LOCATION> call this dish?,How do people in <LOCATION> call this dish?,Bagaimanakah orang di <LOCATION> menyebut hidangan ini?,Orang di <LOCATION> namain makanan ini apa?,<LOCATION>的人怎么称呼这道菜？,<LOCATION> 사람들은 이 요리를 어떻게 부르나요?,<LOCATION> 사람들은 이 요리를 어떻게 불러?,<LOCATION>では、この料理をどのように呼んでいますか?,<LOCATION>では、この料理をどう呼んでるの？,Kumaha urang di <LOCATION> nyebut ieu pasakan?,Kados pundi tiyang ing <LOCATION> nyebat dhaharan menika?,Piye wong nang <LOCATION> ngarani panganan iki?,Jak tomuto jídlu říkají lidé <LOCATION.in>?,¿Cómo llaman las personas en <LOCATION> a este plato?,Comment est-ce que les gens <LOCATION.from> appellent ce plat?,كيف يسمي سكان <LOCATION> هذا الطبق؟,<LOCATION> के लोग इस व्यंजन को क्या बुलाते हैं?,<LOCATION>मधील लोक या जेवणाला काय म्हणतात?,<LOCATION.qual> স্থানীয় লোকজন এই খাবারকে কি বলে?,<LOCATION>  සිටන මිනිසුන් මෙම කෑම වර්ගය හඳුන්වන්නේ කෙසේද?,Báwo ni àwọn èèyàn ní <LOCATION> ṣe ń pe irúfẹ́ oúnjẹ yìí?,<LOCATION_PEOPLE>點樣叫呢道菜？,<LOCATION>的人按怎叫这类菜?,<LOCATION> e lang an cua kio ce le chai?,Paano tawagin ng mga tao sa <LOCATION> ang lutong ito?,คนใน<LOCATION>เรียกจานนี้ว่า?,<LOCATION>dakılar bu yeməyə nə deyirlər?,Как люди в <LOCATION.prep> называют это блюдо?,Как люди в <LOCATION.prep> называют это блюдо?,Come chiama questo piatto la gente in <LOCATION>?,Sa zente de Location comente giamat custu piàttu?
with_context,name,How do people call this dish in <LOCATION>?,What is this dish called by the people in <LOCATION>?,Bagaimanakah orang menyebut hidangan ini di <LOCATION>?,Orang namain makanan ini apa di <LOCATION>?,在<LOCATION>，人们怎么称呼这道菜？,<LOCATION> 사람들은 이 요리를 뭐라고 부르나요?,<LOCATION> 사람들은 이 요리를 뭐라고 불러?,<LOCATION>では、この料理をどのように呼んでいますか?,<LOCATION>だと、この料理をどう呼んでるの？,Kumaha urang nyebut ieu pasakan di <LOCATION>?,Kados pundi tiyang dhateng <LOCATION> nyebat dhaharan menika?,Piye wong ndek <LOCATION> ngarani panganan iki?,Jak tomuto pokrmu říkají lidé <LOCATION.in>?,¿Cómo llaman las personas a este plato en <LOCATION>?,Comment est-ce que les habitants <LOCATION.from> appellent ce plat?,كيف يسمي سكان <LOCATION> هذا الطبق؟,<LOCATION> के स्थानीय लोग इस व्यंजन को क्या बुलाते हैं?,<LOCATION>मधील स्थानिक लोक या डिशला काय म्हणतात?,<LOCATION.qual> স্থানীয়রা এই খাবারকে কি বলে?,<LOCATION>  මිනිසුන් මෙම කෑම වර්ගය හඳුන්වන්නේ කෙසේද?,Báwo ni èèyàn ní <LOCATION> ṣe ń pe irúfẹ́ oúnjẹ yìí?,<LOCATION>嘅人點樣叫呢道菜？,<LOCATION>的当地人按怎叫这类菜?,<LOCATION> e tong te lang an cua kio ce le chai?,Paano tawagin ng mga tao sa <LOCATION> ang lutong ito?,คนใน<LOCATION>เรียกจานนี้ว่า?,<LOCATION>dakılar bu xörəyə nə deyirlər?,Как называют это блюдо в <LOCATION.prep>?,Как называют это блюдо в <LOCATION.prep>?,Come chiama la gente questo piatto in <LOCATION>?,Comente lu giamat custu piàttu sa zente de LOCATION?
with_context,name,How do locals in <LOCATION> call this dish?,How do locals in <LOCATION> call this dish?,Bagaimanakah penduduk setempat di <LOCATION> menyebut hidangan ini?,Orang lokal <LOCATION> namain makanan ini apa?,<LOCATION>的当地人怎么称呼这道菜？,<LOCATION>의 현지인들은 이 요리를 뭐라고 부르나요?,<LOCATION>의 현지인들은 이 요리를 뭐라고 불러?,<LOCATION>の地元住民は、この料理をどのように呼んでいますか?,<LOCATION>の地元の人たちは、この料理をどう呼んでる？,Kumaha urang lokal di <LOCATION> nyebut ieu pasakan?,Kados pundi tiyang lokal ing <LOCATION> masangaken asma dhaharan menika?,Piye wong lokal nang <LOCATION> njenengi panganan iki,Jak tomuto jídlu říkají místní <LOCATION.in>?,¿Cómo llaman los locales en <LOCATION> a este plato?,Comment est-ce que les habitants <LOCATION.from> appellent ce plat?,كيف يسمي سكان <LOCATION> المحليون هذا الطبق؟,<LOCATION> के मूल निवासी इस व्यंजन को कैसे नाम देते हैं?,<LOCATION>मधील स्थानिक लोक या अन्नाला कसे नाव देतात?,<LOCATION.qual> লোকজন এই খাবারকে কি বলে?,<LOCATION> සිටින ප්‍රදේශවාසීන් මෙම කෑම වර්ගය හඳුන්වන්නේ කෙසේද?,Báwo ni àwọn aráàlú <LOCATION> ṣe ń pe irúfẹ́ oúnjẹ yìí?,<LOCATION>嘅本地人點樣叫呢道菜？,<LOCATION>的本地人按怎叫这类菜?,<LOCATION> e pun te lang an cua kio ce le chai?,Paano tawagin ng mga taga-<LOCATION> ang lutong ito?,คนท้องถิ่นใน<LOCATION>เรียกจานนี้ว่า?,<LOCATION>-ın yerli əhalisi bu yeməyi necə adlandırır?,Как местные жители в <LOCATION.prep> называют это блюдо?,Как местные жители в <LOCATION.prep> называют это блюдо?,Come chiamano questo i locali in <LOCATION>?,Comente giamana custu sa zente de LOCATION?
with_context,name,How do natives in <LOCATION> name this dish?,How do natives in <LOCATION> name this dish?,Bagaimanakah penduduk asli <LOCATION> menyebut hidangan ini?,Orang asli <LOCATION> namain makanan ini apa?,<LOCATION>本地人怎么称呼这道菜？,<LOCATION>의 토착민들은 이 요리를 뭐라고 부르나요?,<LOCATION>의 토착민들은 이 요리를 뭐라고 불러?,<LOCATION>の原住民は、この料理をどのように呼んでいますか?,<LOCATION>の人たちは、この料理をどう呼んでるの？,Kumaha urang <LOCATION> méré ngaran ka ieu pasakan?,Kados pundi tiyang saking <LOCATION> nyebat dhaharan menika?,Piye wong asal <LOCATION> ngarani panganan iki?,Jak toto jídlo nazývají místní obyvatelé <LOCATION.in>?,¿Cómo llaman los nativos de <LOCATION> a este plato?,Comment est-ce que les natifs <LOCATION.from> appellent ce plat?,كيف يسمي سكان <LOCATION> الأصليون هذا الطبق؟,<LOCATION> के लोग इस व्यंजन को आम तौर पर किस नाम से पुकारते हैं?,लोक सामान्यपणे <LOCATION>मध्ये या जेवणाचे  संदर्भ कसे करतात?,<LOCATION.qual> স্থানীয়রা এই খাবারকে কি বলে ডাকে?,<LOCATION> සිටින ස්වදේශිකයන් මෙම කෑම වර්ගය නම් කරන්නේ කෙසේද?,Báwo ni àwọn aráa <LOCATION> ṣe fún oúnjẹ yìí lórúkọ?,<LOCATION>嘅本地人點樣叫呢道菜？,在<LOCATION>，人人biasa按怎叫这类菜?,"khi <LOCATION>, lang lang biasa an cua kio ce le chai?",Paano pangalanan ng mga taga-<LOCATION> ang lutong ito?,คนพื้นเมืองใน<LOCATION>เรียกจานนี้ว่า?,<LOCATION>dakı yerlilər bu yeməyi necə adlandırır?,Как коренные жители в <LOCATION.prep> называют это блюдо?,Как коренные жители в <LOCATION.prep> называют это блюдо?,Come chiama questo piatto la gente del posto in <LOCATION>?,Sa zente de LOCATION comente giamada custu piàttu?
with_context,name,How do people commonly refer to this dish in <LOCATION>?,How do people commonly refer to this dish in <LOCATION>?,"Secara umum, bagaimanakah masyarakat menyebut hidangan ini di <LOCATION>?",Biasanya orang-orang di <LOCATION> sebut makanan ini apa?,在<LOCATION>，人们通常怎么称呼这道菜？,<LOCATION> 사람들은 이 요리를 보통 뭐라고 부르나요?,<LOCATION> 사람들은 이 요리를 보통 뭐라고 불러?,<LOCATION>の人々は一般的にこの料理をどのように呼んでいますか?,<LOCATION>の人たちって、この料理を何て呼ぶの？,Kumaha biasana jalma ngarujuk ka ieu pasakan di <LOCATION>?,Kados pundi tiyang-tiyang nyebat dhaharan menika ing <LOCATION>?,Piye carane wong-wong ngarani panganan iki nang <LOCATION>?,Jak lidé <LOCATION.in> běžně nazývají tento pokrm?,¿Cómo se refieren comunment a este plato en <LOCATION>?,Comment est-ce que les gens <LOCATION.from> font-ils généralement référence à ce plat?,كيف يسمي سكان <LOCATION> هذا الطبق عادة؟,<LOCATION> के लोग इस व्यंजन को किस नाम से पुकारते हैं?,<LOCATION> मधील लोक या खाद्यपदार्थाला काय म्हणतात?,লোকজন সাধারণত <LOCATION> এ কিভাবে এই খাবারটিকে উল্লেখ করে?,<LOCATION>  සිටින මිනිසුන් මෙම කෑමට පොදුවේ කියන නම කුමක්ද ?,Báwo ni àwọn èèyàn ṣe ma ń pe irúfẹ́ oúnjẹ yìí ní <LOCATION> ?,<LOCATION>嘅人通常點樣叫呢道菜？,在<LOCATION>，人人按怎叫这类菜的名?,"khi <LOCATION>, lang lang an cua kio ce le chai e mia?",Ano ang karaniwang tawag ng mga tao sa <LOCATION> sa lutong ito?,ผู้คนมันจะเรียกอาหารจานนี้ใน<LOCATION>ว่า?,<LOCATION>dakılar bu yeməyə adətən necə müraciət edir?,Как обычно называют это блюдо в <LOCATION.prep>?,Как обычно называют это блюдо в <LOCATION.prep>?,Come si riferisce comunemente la gente a questo piatto in <LOCATION>?,Comente si riferit sa zente abitudinariamente a custu piattu in LOCATION?
